,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cost Price
136,Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,1.0250999999999997
137,Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,3,0.2,26.6616,19.80576
138,Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,7.9056
139,Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,14,0.0,20.6976,1.6015999999999997
140,Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,0.2,10.35,43.47
141,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,3,0.0,2.3814,2.1462
142,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,1.9185999999999999
143,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,3,0.0,68.976,24.907999999999998
144,Standard Class,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,207.05939999999998
145,Standard Class,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,7,0.0,20.1579,93.11029999999998
146,Standard Class,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.88799999999999,4,0.2,12.9096,24.293519999999997
147,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0.0,103.8015,25.5135
148,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0.0,5.9988,47.9904
149,Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,0.0,585.552,170.786
150,Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,18.1843
151,First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.766,33.636959999999995
152,First Class,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.18400000000003,2,0.2,15.2388,112.76712000000002
153,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,7,0.0,26.271,4.587000000000001
154,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,4,0.0,48.5392,14.245199999999999
155,First Class,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,6,0.0,21.0288,9.9752
156,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,3,0.0,1.7901,1.6133
157,Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,457.56800000000004,2,0.2,51.4764,243.65496000000002
158,Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,3.8742999999999994
159,Standard Class,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,0.0,236.2325,101.24249999999999
160,First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0.0,2.6910000000000003,3.289
161,Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.38399999999999,2,0.2,1.3596,31.814639999999994
162,Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,0.0,13.347999999999999,3.0103999999999997
163,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.687999999999999,10.7952
164,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,3,0.2,2.7324,2.8814399999999996
165,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Machines,8159.951999999999,8,0.4,-1359.9920000000002,1665.9901999999997
166,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,133.82507999999999
167,Standard Class,Consumer,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,254.93259999999998
168,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,6,0.2,6.8136,5.05008
169,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,227.45844
170,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,3,0.2,8.9985,53.991
171,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,3,0.0,9.8418,3.6994000000000007
172,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,2,0.0,53.2608,28.849599999999995
173,Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,7,0.2,21.259,54.666
174,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,165.21120000000002
175,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,4,0.2,6.5520000000000005,4.0824
176,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16,153.1908
177,Second Class,Consumer,Newark,Ohio,East,Furniture,Chairs,396.80199999999996,7,0.3,-11.3372,75.79727999999999
178,Second Class,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,4.71636
179,Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,3.28,1,0.0,1.4104,1.8695999999999997
180,Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,13.772879999999999
181,Second Class,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.744,7,0.2,76.6395,56.93220000000001
182,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,4,0.0,131.0296,93.23259999999999
183,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,5,0.0,41.986000000000004,21.592799999999997
184,Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,29.0,2,0.0,7.25,10.875
185,Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,2,0.0,3.4368,1.8616000000000001
186,Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,8,0.0,22.984,19.227
187,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224000000000004,3,0.2,3.7224,13.400640000000001
188,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,3,0.2,6.255,5.5043999999999995
189,First Class,Home Office,New York City,New York,East,Furniture,Bookcases,899.1360000000001,4,0.2,112.39200000000001,236.0232
190,First Class,Home Office,New York City,New York,East,Technology,Phones,71.76,6,0.0,20.0928,8.611200000000002
191,First Class,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,8,0.0,24.8832,3.3696000000000006
192,First Class,Home Office,New York City,New York,East,Furniture,Bookcases,626.352,3,0.2,46.9764,231.75023999999996
193,First Class,Home Office,New York City,New York,East,Office Supplies,Art,19.9,5,0.0,6.567,2.6666
194,Standard Class,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,7,0.0,6.7116,1.0812
195,Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.4079999999999995,2,0.2,1.2038,3.7225199999999994
196,Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.047999999999999,3,0.2,1.5876,1.7841599999999995
197,Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,3,0.0,12.0276,11.4108
198,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,2,0.7,-2.2586,4.42391
199,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.055999999999997,3,0.2,5.8203,4.094279999999999
200,Standard Class,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.744,3,0.2,6.795,5.9796
201,First Class,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,2,0.5,-161.875,285.46875
202,First Class,Consumer,Denver,Colorado,West,Office Supplies,Appliances,2.6,1,0.2,0.2925,2.769
203,Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,66.28399999999999,2,0.8,-178.9668,220.72572
204,Standard Class,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.168,7,0.2,9.6712,4.37088
205,Standard Class,Consumer,Whittier,California,West,Technology,Phones,444.76800000000003,4,0.2,44.4768,120.08735999999999
206,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,83.92,4,0.0,5.8744,19.511400000000002
207,Standard Class,Consumer,Saginaw,Michigan,Central,Technology,Phones,131.98,2,0.0,35.6346,48.17269999999999
208,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Binders,15.92,4,0.0,7.4824,2.1094
209,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.29,9,0.0,16.2099,4.008900000000001
210,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,91.99,1,0.0,3.6796,88.3104
211,Second Class,Corporate,Dallas,Texas,Central,Technology,Accessories,20.8,2,0.2,6.5,8.58
212,Standard Class,Corporate,Medina,Ohio,East,Office Supplies,Labels,23.68,2,0.2,8.88,8.879999999999999
213,Standard Class,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,5,0.5,-244.32299999999998,209.03189999999995
214,Standard Class,Corporate,Medina,Ohio,East,Technology,Phones,62.982,3,0.4,-14.6958,36.24964
215,Standard Class,Corporate,Medina,Ohio,East,Technology,Machines,1188.0,9,0.7,-950.4,403.92
216,Standard Class,Corporate,Medina,Ohio,East,Technology,Accessories,89.584,2,0.2,4.4792,51.06288
217,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,93.06,6,0.0,26.0568,11.167200000000001
218,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,302.376,3,0.2,22.6782,111.87911999999999
219,First Class,Consumer,Dublin,Ohio,East,Office Supplies,Fasteners,5.584,2,0.2,1.8148,2.2615199999999995
220,First Class,Consumer,Dublin,Ohio,East,Office Supplies,Paper,22.704,6,0.2,8.2302,2.89476
221,First Class,Consumer,Dublin,Ohio,East,Office Supplies,Binders,19.776,4,0.7,-13.8432,14.28816
222,First Class,Consumer,Dublin,Ohio,East,Furniture,Furnishings,72.704,4,0.2,19.0848,16.085759999999997
223,First Class,Consumer,Dublin,Ohio,East,Technology,Machines,479.98800000000006,4,0.7,-383.9904,367.19082000000003
224,First Class,Consumer,Dublin,Ohio,East,Office Supplies,Art,27.168000000000003,2,0.2,2.7168,14.670720000000001
225,Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Art,2.2,1,0.0,0.968,1.2320000000000002
226,Standard Class,Corporate,Detroit,Michigan,Central,Furniture,Tables,622.45,5,0.0,136.939,97.10220000000001
227,Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Storage,21.98,1,0.0,0.2198,21.7602
228,Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,161.56799999999998,2,0.2,-28.2744,113.90544
229,Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,389.69599999999997,8,0.2,43.8408,51.87828
230,Standard Class,Corporate,Charlotte,North Carolina,South,Office Supplies,Binders,18.648,7,0.7,-12.432,7.547999999999999
231,Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,233.86,2,0.45,-102.04799999999999,243.5333
232,Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,620.6145,3,0.45,-248.2458,419.94914500000004
233,Standard Class,Home Office,Tampa,Florida,South,Office Supplies,Binders,5.327999999999999,2,0.7,-3.552,7.547999999999999
234,Standard Class,Home Office,Tampa,Florida,South,Furniture,Furnishings,258.072,3,0.2,0.0,103.22879999999999
235,Standard Class,Home Office,Tampa,Florida,South,Technology,Accessories,617.976,3,0.2,-7.7247,250.28028
236,Standard Class,Corporate,Santa Clara,California,West,Office Supplies,Paper,10.56,2,0.0,4.752,2.9040000000000004
237,Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Paper,25.92,5,0.2,9.396,3.96576
238,Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,419.68,5,0.6,-356.728,248.45056
239,Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,11.687999999999999,3,0.6,-4.6752,8.72704
